0	4.5E-1	5E-2	1E2	0.0	0.0	0.0	1E2	6.99E1
1	4.7450708308E-1	4.8077224354E-2	9.9590911648E1	5.1991463415E-2	4.0908835229E-1	1.3384933303E-2	9.9762923091E1	6.9797014408E1
2	5.0034882606E-1	5.0668914406E-2	9.9159544279E1	9.3944182698E-2	7.9678163108E-1	2.6255142131E-2	9.9458933768E1	6.9770666535E1
3	5.2759791471E-1	5.3400262781E-2	9.8704684577E1	1.3818877676E-1	1.2056147873E0	3.9819142928E-2	9.9138409166E1	6.9742885121E1
4	5.5633099327E-1	5.6279200496E-2	9.8225053146E1	1.8485045915E-1	1.6367256782E0	5.4114322042E-2	9.8800433602E1	6.9713591797E1
5	5.8662888E-1	5.9313540228E-2	9.7719300916E1	2.3406117555E-1	2.0913345286E0	6.9180188943E-2	9.8444063962E1	6.968270443E1
6	6.1857679456E-1	6.2511691402E-2	9.7186005345E1	2.8596011762E-1	2.5707215365E0	8.5058344541E-2	9.8068298606E1	6.965013626E1
7	6.5226459766E-1	6.5882277223E-2	9.6623666421E1	3.4069407185E-1	3.0762454632E0	1.0179264094E-1	9.767209101E1	6.9615796023E1
8	6.8778704384E-1	6.9434722179E-2	9.603070244E1	3.9841789849E-1	3.6093266647E0	1.1942923867E-1	9.7254323979E1	6.9579587182E1
9	7.2524404794E-1	7.3178758252E-2	9.5405445561E1	4.5929488249E-1	4.1714703847E0	1.3801682118E-1	9.6813827739E1	6.954140813E1
10	7.6474096619E-1	7.7124712233E-2	9.4746137109E1	5.2349724738E-1	4.7642612985E0	1.5760667715E-1	9.6349365968E1	6.950115167E1
11	8.0638889252E-1	8.1283469081E-2	9.4050922635E1	5.9120662472E-1	5.3893704235E0	1.7825285973E-1	9.5859635027E1	6.9458704766E1
12	8.50304971E-1	8.5666501595E-2	9.3317846695E1	6.6261456759E-1	6.0485598432E0	2.0001233598E-1	9.5343260312E1	6.9413948236E1
13	8.966127254E-1	9.0285901856E-2	9.2544847353E1	7.3792309225E-1	6.7436876819E0	2.2294514418E-1	9.4798792407E1	6.936675641E1
14	9.4544240654E-1	9.5154391952E-2	9.172975038E1	8.1734524945E-1	7.4767141685E0	2.4711455967E-1	9.4224703921E1	6.9316996799E1
